Size,Horizon,rmse_01,np_01,mape_01
10000,1,0.014506,0.112000,0.024277
11304,1,0.012680,0.091000,0.022097
12608,1,0.022961,0.130000,0.024331
10000,1,0.056087,0.227000,0.033048
11304,1,0.015418,0.188000,0.027086
5000,1,0.046166,0.229000,0.052329
6521,1,0.038482,0.218000,0.044549
8043,1,0.064042,0.252000,0.045962
10000,1,0.056087,0.227000,0.033048
10000,1,0.014506,0.112000,0.024277
10000,1,0.055824,0.233000,0.033157
11304,1,0.016360,0.199000,0.027321
10000,1,0.056087,0.227000,0.033048
10000,1,0.057311,0.182000,0.046349
10000,1,0.053598,0.200000,0.031226
10000,1,0.057612,0.188000,0.041013
10000,1,0.053598,0.201000,0.031170
